week_ending_date,market_cap,total_volume
2013-05-04,1374210510.83,0.0
2013-05-11,1346229985.71,0.0
2013-05-18,1380806128.71,0.0
2013-05-25,1472163698.71,0.0
2013-06-01,1516987437.86,0.0
2013-06-08,1400279609.0,0.0
2013-06-15,1232137511.71,0.0
2013-06-22,1241388740.29,0.0
2013-06-29,1225862767.14,0.0
2013-07-06,1031781111.14,0.0
2013-07-13,982532969.0,0.0
2013-07-20,1151890404.71,0.0
2013-07-27,1134354971.0,0.0
2013-08-03,1245596427.71,0.0
2013-08-10,1312350800.29,0.0
2013-08-17,1356077050.43,0.0
2013-08-24,1504375171.86,0.0
2013-08-31,1582209386.0,0.0
2013-09-07,1659556591.43,0.0
2013-09-14,1635590036.14,0.0
2013-09-21,1666257676.0,0.0
2013-09-28,1658425737.29,0.0
2013-10-05,1692703084.86,0.0
2013-10-12,1672882100.29,0.0
2013-10-19,1871891515.43,0.0
2013-10-26,2334306180.86,0.0
2013-11-02,2526157077.0,0.0
2013-11-09,3444691754.14,0.0
2013-11-16,4784368201.14,0.0
2013-11-23,7970103005.0,0.0
2013-11-30,12198994169.57,0.0
2013-12-07,13675449121.86,0.0
2013-12-14,11902823991.57,0.0
2013-12-21,9367900792.0,0.0
2013-12-28,9413393305.86,145703891.0
2014-01-04,10804502236.57,385356629.0
2014-01-11,12041244782.86,756379438.0
2014-01-18,11543816320.71,323585184.0
2014-01-25,11600017883.14,306027164.0
2014-02-01,11431046691.14,338756888.0
2014-02-08,10918073313.71,355926982.0
2014-02-15,9190008112.14,622657011.0
2014-02-22,8466545126.14,325856921.0
2014-03-01,7968337307.14,490825999.0
2014-03-08,9041763441.57,378911346.0
2014-03-15,9064143713.86,169154199.0
2014-03-22,8541921550.14,282050687.0
2014-03-29,7961376756.0,299827131.0
2014-04-05,7044903140.43,318870072.0
2014-04-12,6680803958.86,254444604.0
2014-04-19,7360362276.14,399641055.0
2014-04-26,7360086920.29,501975308.09
2014-05-03,6609192946.43,492968438.29
2014-05-10,6594639272.43,327130346.44
2014-05-17,6708634909.29,169536585.54
2014-05-24,7454233889.71,361279992.86
2014-05-31,8885670684.0,403222878.97
2014-06-07,9646920548.57,303033307.86
2014-06-14,9259748458.41,217063246.16
2014-06-21,8859987765.94,159044937.33
2014-06-28,8513878350.78,142909192.04
2014-07-05,8905935308.6,240670342.39
2014-07-12,8703559403.53,144581654.66
2014-07-19,8646863877.26,2769903288.88
2014-07-26,8527611944.67,115783170.15
2014-08-02,8148972849.47,147804925.13
2014-08-09,8192345183.6,104745989.29
2014-08-16,7529094306.97,226607363.98
2014-08-23,6942116941.41,361044421.09
2014-08-30,7207595515.71,169067888.39
2014-09-06,6867934348.91,178383852.5
2014-09-13,6866030046.78,154445160.88
2014-09-20,6442549628.13,273184206.08
2014-09-27,5988762926.48,267887187.36
2014-10-04,5438390336.58,252957712.54
2014-10-11,5117105024.37,450630891.29
2014-10-18,5689114596.58,366354124.67
2014-10-25,5460900327.34,257800910.65
2014-11-01,5051053249.85,285068457.58
2014-11-08,4972640700.25,278496606.93
2014-11-15,5701169908.9,1127513805.1
2014-11-22,5493793060.29,725914522.56
2014-11-29,5734202130.27,571417712.01
2014-12-06,5861703876.86,475617592.07
2014-12-13,5639094973.21,487536811.55
2014-12-20,5566841501.92,337896743.54
2014-12-27,5538727686.56,569575677.14
2015-01-03,5398278214.93,565206759.57
2015-01-10,4793920624.5,925194733.71
2015-01-17,3990714289.06,736681626.95
2015-01-24,3850231352.89,903395849.49
2015-01-31,4107346519.95,1391720031.02
2015-02-07,3858460369.24,730452860.15
2015-02-14,3855869598.37,682116677.35
2015-02-21,4002618800.52,784668387.77
2015-02-28,4024111323.86,541967697.01
2015-03-07,4416027458.17,671605634.66
2015-03-14,4610512327.68,603436338.3
2015-03-21,4363837544.23,560588242.3
2015-03-28,4078107552.93,814160765.72
2015-04-04,3980647282.11,612001743.86
2015-04-11,3961723064.17,683842853.42
2015-04-18,3615738506.56,625229721.72
2015-04-25,3688371694.28,485784063.98
2015-05-02,3673906390.95,585160115.11
2015-05-09,3806418248.45,575788804.56
2015-05-16,3801022995.75,396914940.09
2015-05-23,3761020536.7,307681246.87
2015-05-30,3863235445.54,264193058.16
2015-06-06,3700328865.08,254490592.28
2015-06-13,3764190080.19,259399695.43
2015-06-20,4081754759.64,811307767.97
2015-06-27,4168227776.93,448229014.69
2015-07-04,4405258434.37,851617994.5
2015-07-11,4684068663.65,1905608098.3
2015-07-18,4782137794.29,1324966300.52
2015-07-25,4655207348.95,904208460.45
2015-08-01,4883151674.77,1149244150.07
2015-08-08,4676955147.99,1094007193.49
2015-08-15,4540844266.22,902097842.19
2015-08-22,4192459274.32,947467831.44
2015-08-29,3876779991.12,1430672686.12
2015-09-05,3966329734.11,731490482.35
2015-09-12,4129554772.32,819222343.19
2015-09-19,3980600015.88,645469780.18
2015-09-26,3962514786.79,831306359.78
2015-10-03,4005684088.63,1134880913.46
2015-10-10,4078799042.24,1041170314.63
2015-10-17,4248637902.47,1903078276.47
2015-10-24,4468885958.83,1546376449.49
2015-10-31,4992862883.28,3801378501.78
2015-11-07,6114397292.76,7093931548.02
2015-11-14,5592039881.3,3540108654.61
2015-11-21,5373540823.52,1630614844.61
2015-11-28,5527957727.9,4582959965.72
2015-12-05,6022260041.19,8755801306.92
2015-12-12,6870654286.86,11944043672.24
2015-12-19,7437780069.15,9696989008.89
2015-12-26,7199807779.46,10185506443.07
2016-01-02,7040310127.96,9456513614.85
2016-01-09,7266825372.21,8673927638.29
2016-01-16,6972580227.19,10510493456.98
2016-01-23,6537724302.69,10565947780.94
2016-01-30,6614167596.61,9476685164.95
2016-02-06,6451154673.58,7048115176.66
2016-02-13,6730377513.34,4929184309.84
2016-02-20,7371435905.72,9623208005.5
2016-02-27,7684731887.92,9132002574.73
2016-03-05,7803423926.27,16081847107.27
2016-03-12,7945090430.85,16491529922.11
2016-03-19,8053155706.79,14838489422.23
2016-03-26,8037394504.12,14216027880.97
2016-04-02,8114668480.56,13243339001.01
2016-04-09,8061057295.75,4990573124.39
2016-04-16,7930061298.99,6340518307.31
2016-04-23,8246551582.75,7453205241.66
2016-04-30,8448762698.04,13088611394.11
2016-05-07,8536781283.99,6305437786.35
2016-05-14,8618023546.1,8299602279.12
2016-05-21,8757459182.23,6773331089.5
2016-05-28,8980920859.27,10297017342.98
2016-06-04,10522174275.99,11937374629.34
2016-06-11,11264332836.36,8402672716.32
2016-06-18,13740096552.76,19306618140.83
2016-06-25,12673474579.69,22012861514.17
2016-07-02,12502558983.13,15817912307.18
