week_ending_date,gold_close_avg,gold_open,gold_high,gold_low,gold_volume
2015-09-05,108.39,108.19,109.77,107.07,23605383
2015-09-12,106.55,107.6,107.94,105.27,25029404
2015-09-19,107.41,105.86,109.38,105.68,25751217
2015-09-26,108.97,108.49,110.82,107.44,28520856
2015-10-03,107.8,108.37,109.32,106.47,27224267
2015-10-10,109.67,109.14,111.05,108.46,31296691
2015-10-17,112.55,111.67,113.99,111.01,42424799
2015-10-24,111.93,112.64,113.09,110.96,21056962
2015-10-31,110.58,111.73,113.25,109.06,24105909
2015-11-07,106.26,108.64,108.84,104.02,35316840
2015-11-14,103.96,104.29,104.65,103.04,21600939
2015-11-21,103.03,103.98,104.09,101.98,27638246
2015-11-28,102.23,102.48,103.25,100.99,15444705
2015-12-05,102.13,101.53,104.21,100.53,38804349
2015-12-12,102.76,103.32,103.66,101.85,24464627
2015-12-19,101.72,102.58,103.2,100.23,39053897
2015-12-26,102.78,102.95,103.52,102.21,15029923
2016-01-02,101.84,102.48,102.6,101.31,13755846
2016-01-09,104.51,103.13,106.24,102.48,38641051
2016-01-16,104.15,105.47,105.57,102.5,39172843
2016-01-23,104.96,104.06,106.16,103.65,24315273
2016-01-30,106.91,105.76,107.93,105.6,37535972
2016-02-06,109.66,107.54,112.35,107.35,60886693
2016-02-13,115.86,113.67,120.84,112.98,125818460
2016-02-20,116.53,116.0,118.6,114.74,53939080
2016-02-27,117.07,115.44,119.86,115.41,62622686
2016-03-05,119.27,117.59,122.37,117.34,69498436
2016-03-12,120.44,121.18,121.88,118.84,58449449
2016-03-19,119.27,120.27,121.18,117.34,60835273
2016-03-26,117.8,119.0,120.16,116.16,36287877
2016-04-02,117.41,116.73,118.81,115.55,48830028
2016-04-09,117.56,116.67,118.85,115.0,45018452
2016-04-16,118.78,119.47,120.34,116.95,49335979
2016-04-23,118.72,118.53,120.55,117.28,61695320
2016-04-30,120.18,118.14,123.93,118.11,56394626
2016-05-07,122.73,123.78,123.96,121.25,50775247
2016-05-14,121.32,121.2,122.39,120.08,41750901
2016-05-21,120.74,122.93,122.97,118.92,53355754
2016-05-28,117.17,118.86,119.6,115.29,46441831
2016-06-04,116.64,115.76,118.89,115.2,35740377
2016-06-11,120.26,118.89,122.1,118.41,52207931
2016-06-18,123.08,122.8,125.67,122.03,81449860
2016-06-25,122.21,122.26,126.82,120.06,80744690
2016-07-02,126.54,126.44,128.42,125.06,80502060
2016-07-09,129.99,128.8,131.15,128.17,70463160
2016-07-16,127.79,129.49,129.9,126.03,70179022
2016-07-23,126.66,127.02,127.5,125.31,42485820
2016-07-30,127.23,125.53,129.41,125.11,60761534
2016-08-06,129.31,128.57,130.55,127.39,40868029
2016-08-13,127.81,127.29,129.26,127.2,45607498
2016-08-20,128.38,127.62,129.17,127.46,45590670
2016-08-27,126.83,127.63,128.22,125.82,55062843
2016-09-03,125.59,126.0,126.57,124.55,52900854
2016-09-10,127.83,127.4,129.08,126.7,46937885
2016-09-17,125.79,126.31,126.92,124.67,57667966
2016-09-24,126.65,125.61,128.2,125.17,47121949
2016-10-01,126.42,127.96,128.04,125.24,37357377
2016-10-08,121.29,125.32,125.46,118.42,83881583
2016-10-15,119.77,120.16,120.42,119.29,29173181
2016-10-22,120.56,119.7,121.59,119.58,28914715
2016-10-29,121.08,121.28,122.48,120.16,31485858
2016-11-05,123.4,121.51,124.76,121.23,55376001
2016-11-12,120.44,122.66,124.35,116.23,80304535
2016-11-19,116.26,116.12,117.27,114.96,55930522
2016-11-26,114.24,115.72,115.94,112.35,39323404
2016-12-03,112.5,113.23,113.84,110.63,41643115
2016-12-10,111.35,111.15,112.5,110.19,37100459
2016-12-17,109.1,110.59,111.11,107.0,51484383
2016-12-24,107.95,108.6,108.88,107.29,27717916
2016-12-31,109.33,108.61,110.62,108.24,25182295
2017-01-07,111.42,109.62,112.94,109.37,29699737
2017-01-14,113.49,112.39,114.93,112.17,37390964
2017-01-21,115.14,115.89,115.96,113.94,34309675
2017-01-28,114.43,115.51,116.17,112.81,30927613
2017-02-04,115.34,113.61,116.57,113.54,41657383
2017-02-11,117.65,117.07,118.59,116.67,44003034
2017-02-18,117.39,116.73,118.4,116.15,35068857
2017-02-25,118.58,117.04,119.88,116.77,29516791
2017-03-04,118.5,119.73,120.4,116.44,48215156
2017-03-11,115.35,117.35,117.35,114.13,33616603
2017-03-18,115.77,114.63,117.29,114.02,38617675
2017-03-25,118.49,117.31,119.25,117.2,33907767
2017-04-01,119.02,119.93,120.08,118.32,35952828
2017-04-08,119.45,118.69,120.67,118.4,35820694
2017-04-15,121.32,119.04,122.65,118.85,36435008
2017-04-22,122.21,122.55,123.07,121.28,55199326
2017-04-29,120.75,120.77,121.51,119.87,48528822
2017-05-06,118.22,120.21,120.75,116.63,44567125
2017-05-13,116.43,117.03,117.16,115.56,28121266
2017-05-20,118.56,117.52,120.02,116.99,40396064
2017-05-27,119.73,119.63,120.79,118.92,31367789
2017-06-03,120.77,120.24,121.71,119.95,30785890
2017-06-10,121.89,121.91,123.31,120.4,39030453
2017-06-17,119.86,120.33,121.88,119.13,42943107
2017-06-24,118.7,118.74,119.66,118.07,31177787
2017-07-01,118.48,118.29,119.06,117.91,31546324
2017-07-08,116.09,116.54,116.85,114.8,34940992
2017-07-15,115.94,115.02,117.25,114.83,26147999
2017-07-22,118.2,117.42,119.39,117.23,31234877
2017-07-29,119.72,119.52,120.86,118.55,32145412
2017-08-05,120.41,120.5,121.14,119.22,30137929
2017-08-12,121.14,119.43,122.83,118.97,37204701
