week_ending_date,ICSA,gold_close_avg,gold_open,gold_high,gold_low,gold_volume,crypto_market_cap,crypto_total_volume
1967-01-07,208000.0,,,,,,,
1967-01-14,207000.0,,,,,,,
1967-01-21,217000.0,,,,,,,
1967-01-28,204000.0,,,,,,,
1967-02-04,216000.0,,,,,,,
1967-02-11,229000.0,,,,,,,
1967-02-18,229000.0,,,,,,,
1967-02-25,242000.0,,,,,,,
1967-03-04,310000.0,,,,,,,
1967-03-11,241000.0,,,,,,,
1967-03-18,245000.0,,,,,,,
1967-03-25,247000.0,,,,,,,
1967-04-01,259000.0,,,,,,,
1967-04-08,257000.0,,,,,,,
1967-04-15,299000.0,,,,,,,
1967-04-22,245000.0,,,,,,,
1967-04-29,255000.0,,,,,,,
1967-05-06,254000.0,,,,,,,
1967-05-13,231000.0,,,,,,,
1967-05-20,230000.0,,,,,,,
1967-05-27,228000.0,,,,,,,
1967-06-03,248000.0,,,,,,,
1967-06-10,238000.0,,,,,,,
1967-06-17,224000.0,,,,,,,
1967-06-24,218000.0,,,,,,,
1967-07-01,209000.0,,,,,,,
1967-07-08,240000.0,,,,,,,
1967-07-15,241000.0,,,,,,,
1967-07-22,240000.0,,,,,,,
1967-07-29,209000.0,,,,,,,
1967-08-05,221000.0,,,,,,,
1967-08-12,202000.0,,,,,,,
1967-08-19,215000.0,,,,,,,
1967-08-26,213000.0,,,,,,,
1967-09-02,218000.0,,,,,,,
1967-09-09,231000.0,,,,,,,
1967-09-16,220000.0,,,,,,,
1967-09-23,209000.0,,,,,,,
1967-09-30,204000.0,,,,,,,
1967-10-07,231000.0,,,,,,,
1967-10-14,206000.0,,,,,,,
1967-10-21,223000.0,,,,,,,
1967-10-28,207000.0,,,,,,,
1967-11-04,222000.0,,,,,,,
1967-11-11,214000.0,,,,,,,
1967-11-18,198000.0,,,,,,,
1967-11-25,191000.0,,,,,,,
1967-12-02,196000.0,,,,,,,
1967-12-09,221000.0,,,,,,,
1967-12-16,204000.0,,,,,,,
1967-12-23,219000.0,,,,,,,
1967-12-30,216000.0,,,,,,,
1968-01-06,222000.0,,,,,,,
1968-01-13,222000.0,,,,,,,
1968-01-20,221000.0,,,,,,,
1968-01-27,198000.0,,,,,,,
1968-02-03,244000.0,,,,,,,
1968-02-10,210000.0,,,,,,,
1968-02-17,196000.0,,,,,,,
1968-02-24,193000.0,,,,,,,
1968-03-02,190000.0,,,,,,,
1968-03-09,204000.0,,,,,,,
1968-03-16,190000.0,,,,,,,
1968-03-23,200000.0,,,,,,,
1968-03-30,192000.0,,,,,,,
1968-04-06,191000.0,,,,,,,
1968-04-13,171000.0,,,,,,,
1968-04-20,183000.0,,,,,,,
1968-04-27,251000.0,,,,,,,
1968-05-04,209000.0,,,,,,,
1968-05-11,194000.0,,,,,,,
1968-05-18,199000.0,,,,,,,
1968-05-25,194000.0,,,,,,,
1968-06-01,199000.0,,,,,,,
1968-06-08,192000.0,,,,,,,
1968-06-15,194000.0,,,,,,,
1968-06-22,189000.0,,,,,,,
1968-06-29,194000.0,,,,,,,
